Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
Finland,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,5542237.0,0.15 %,8564.0,18.0,303890.0,14000.0,1.5,43,86 %,0.07 %,5540718.0,5520314.0,10.125,42.8,0.0,2.225,8.927,0.0,1.0,0.55,25.9,53546.0,54394.0,53821.0,55663.0,31.51,10.0,0.0,10.0,10.0,Western Europe,7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,0.028181249794333476,0.033299914999999736,0.1357330300000008,-0.00032972900000005634,0.09917450000000372,-0.00017219900000009503,-0.03851798100000001,-0.009444584000000006
Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,5795780.0,0.35 %,20326.0,137.0,42430.0,15200.0,1.8,42,88 %,0.07 %,5792203.0,5818553.0,22.409,42.3,0.0,3.953,9.006,0.0,1.0,0.572,27.8,53103.0,55076.0,53805.0,55477.0,25.534,10.0,0.0,10.0,10.0,Western Europe,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,0.4790478435069526,-0.025599842000000095,0.1589988800000004,-0.0019907909999999918,0.2974960300000049,-0.005444268000000085,-0.036201776000000005,0.010510543999999983
Switzerland,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,8665615.0,0.74 %,63257.0,219.0,39516.0,52000.0,1.5,43,74 %,0.11 %,8654618.0,8574832.0,88.334,43.1,0.0,5.584,9.078,0.0,0.0,0.66,30.1,66703.0,66888.0,67515.0,77087.0,116.68,10.0,0.0,10.0,10.0,Western Europe,7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.6007946148395586,0.01110019299999987,0.13706721000000144,-0.0008465960000000328,0.29755249000000106,-0.002336650999999912,-0.08091103899999999,-0.011728431000000039
Iceland,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,341628.0,0.65 %,2212.0,3.0,100250.0,380.0,1.8,37,94 %,0.00 %,341250.0,361313.0,8.498,37.3,1.0,1.649,9.07,0.0,1.0,0.325,24.1,2229.0,2247.0,2261.0,2321.0,21.445,,,,,Western Europe,7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,0.022064837905236907,0.049500088000000275,0.10544083000000093,0.008330423999999947,0.0,0.006108121999999994,-0.08694421899999999,-0.038709737999999994
Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17141544.0,0.22 %,37742.0,508.0,33720.0,16000.0,1.7,43,92 %,0.22 %,17134873.0,17332850.0,67.26,43.2,0.0,5.574,9.06,0.0,0.0,0.522,27.0,149805.0,152991.0,151547.0,171175.0,114.468,10.0,0.0,10.0,10.0,Western Europe,7.448900223,0.02779175,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.119276393831554,0.015099777000000536,0.11928828000000102,0.0028611699999999685,0.09908142000000453,0.0044521809999999995,-0.03261244000000002,-0.02671712599999998
Norway,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,5428594.0,0.79 %,42384.0,15.0,365268.0,28000.0,1.7,40,83 %,0.07 %,5421242.0,5347896.0,8.042,39.7,0.0,2.676,8.993,0.0,1.0,0.606,24.8,40634.0,40716.0,40500.0,41155.0,9.998,10.0,0.0,10.0,10.0,Western Europe,7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,0.11603534938729919,-0.09599991599999935,-0.03480383999999859,0.0015134249999999572,0.09921721999999988,0.004249712999999988,-0.04153262999999999,0.006781806000000001
Sweden,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,10110233.0,0.63 %,62886.0,25.0,410340.0,40000.0,1.9,41,88 %,0.13 %,10099270.0,10285453.0,86.412,41.0,0.0,2.59,8.963,0.0,0.0,0.451,27.0,91627.0,91920.0,88545.0,99647.0,87.812,10.0,0.0,10.0,10.0,Western Europe,7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,0.15325339961982745,0.009500111000000366,0.10820617000000077,0.007688805000000021,0.09923095999999987,0.005855805999999908,-0.025614622000000004,-0.013880182000000019
Luxembourg,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,627704.0,1.66 %,10249.0,242.0,2590.0,9741.0,1.5,40,88 %,0.01 %,625976.0,619896.0,79.076,39.7,0.0,5.974,9.07,0.0,0.0,0.595,30.9,4251.0,4300.0,4288.0,4706.0,68.439,10.0,0.0,10.0,10.0,Western Europe,7.237500191,0.030851794,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,3.9571428571428573,0.0864998090000002,0.19631927000000005,0.0010877919999999763,1.5299999915896478e-06,0.0013635699999999806,-0.029379412,0.018915705000000005
New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,4829021.0,0.82 %,39170.0,18.0,263310.0,14881.0,1.9,38,87 %,0.06 %,4822233.0,4917000.0,0.518,37.9,1.0,0.379,9.266,1.0,1.0,0.527,34.1,33495.0,33053.0,34088.0,33177.0,-7.564,10.0,0.0,10.0,10.0,North America and ANZ,7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,0.14876001671034142,-0.02260012400000022,0.14205682000000053,-0.0011189719999999959,0.19737091000000362,-0.007217486999999911,-0.057598073,0.020861149999999995
Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,9015361.0,0.57 %,51296.0,109.0,82409.0,65000.0,1.5,43,57 %,0.12 %,9006400.0,8877067.0,69.084,44.4,0.0,4.315,9.023,0.0,0.0,0.358,26.8,81311.0,82063.0,81557.0,91553.0,110.821,10.0,0.0,10.0,10.0,Western Europe,7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,0.6224562851144899,-0.02619994400000003,0.1631764000000011,0.005954131000000085,0.2974975599999965,0.00801051400000008,-0.043429221,-0.018954879000000036
