,Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
0,Finland,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,5542237,0.15%,8564,18,303890,14000,1.5,43,86%,0.07%,5540718,5520314,10.125,42.8,0,2.225,8.927,0,1,0.55,25.9,53546,54394,53821,55663,31.51,10,0,10,10,Western Europe,7.809,0.031,7.870,7.748,10.639,0.954,71.901,0.949,-0.059,0.195,0.028,0.033,0.136,0.000,0.099,0.000,-0.039,-0.009
1,Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,5795780,0.35%,20326,137,42430,15200,1.8,42,88%,0.07%,5792203,5818553,22.409,42.3,0,3.953,9.006,0,1,0.572,27.8,53103,55076,53805,55477,25.534,10,0,10,10,Western Europe,7.646,0.033,7.711,7.580,10.774,0.956,72.403,0.951,0.066,0.168,0.479,-0.026,0.159,-0.002,0.297,-0.005,-0.036,0.011
2,Switzerland,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,8665615,0.74%,63257,219,39516,52000,1.5,43,74%,0.11%,8654618,8574832,88.334,43.1,0,5.584,9.078,0,0,0.66,30.1,66703,66888,67515,77087,116.68,10,0,10,10,Western Europe,7.560,0.035,7.629,7.491,10.980,0.943,74.102,0.921,0.106,0.304,1.601,0.011,0.137,-0.001,0.298,-0.002,-0.081,-0.012
3,Iceland,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,341628,0.65%,2212,3,100250,380,1.8,37,94%,0.00%,341250,361313,8.498,37.3,1,1.649,9.07,0,1,0.325,24.1,2229,2247,2261,2321,21.445,,,,,Western Europe,7.504,0.060,7.621,7.388,10.773,0.975,73.000,0.949,0.247,0.712,0.022,0.050,0.105,0.008,0.000,0.006,-0.087,-0.039
4,Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17141544,0.22%,37742,508,33720,16000,1.7,43,92%,0.22%,17134873,17332850,67.26,43.2,0,5.574,9.06,0,0,0.522,27,149805,152991,151547,171175,114.468,10,0,10,10,Western Europe,7.449,0.028,7.503,7.394,10.813,0.939,72.301,0.909,0.208,0.365,1.119,0.015,0.119,0.003,0.099,0.004,-0.033,-0.027
5,Norway,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,5428594,0.79%,42384,15,365268,28000,1.7,40,83%,0.07%,5421242,5347896,8.042,39.7,0,2.676,8.993,0,1,0.606,24.8,40634,40716,40500,41155,9.998,10,0,10,10,Western Europe,7.488,0.035,7.556,7.420,11.088,0.952,73.201,0.956,0.135,0.263,0.116,-0.096,-0.035,0.002,0.099,0.004,-0.042,0.007
6,Sweden,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,10110233,0.63%,62886,25,410340,40000,1.9,41,88%,0.13%,10099270,10285453,86.412,41,0,2.59,8.963,0,0,0.451,27,91627,91920,88545,99647,87.812,10,0,10,10,Western Europe,7.353,0.036,7.425,7.282,10.759,0.926,72.601,0.939,0.112,0.251,0.153,0.010,0.108,0.008,0.099,0.006,-0.026,-0.014
7,Luxembourg,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,627704,1.66%,10249,242,2590,9741,1.5,40,88%,0.01%,625976,619896,79.076,39.7,0,5.974,9.07,0,0,0.595,30.9,4251,4300,4288,4706,68.439,10,0,10,10,Western Europe,7.238,0.031,7.298,7.177,11.451,0.907,72.600,0.906,-0.005,0.367,3.957,0.086,0.196,0.001,0.000,0.001,-0.029,0.019
8,New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,4829021,0.82%,39170,18,263310,14881,1.9,38,87%,0.06%,4822233,4917000,0.518,37.9,1,0.379,9.266,1,1,0.527,34.1,33495,33053,34088,33177,-7.564,10,0,10,10,North America and ANZ,7.300,0.039,7.377,7.222,10.501,0.949,73.203,0.936,0.192,0.221,0.149,-0.023,0.142,-0.001,0.197,-0.007,-0.058,0.021
9,Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,9015361,0.57%,51296,109,82409,65000,1.5,43,57%,0.12%,9006400,8877067,69.084,44.4,0,4.315,9.023,0,0,0.358,26.8,81311,82063,81557,91553,110.821,10,0,10,10,Western Europe,7.294,0.033,7.360,7.229,10.743,0.928,73.003,0.900,0.085,0.500,0.622,-0.026,0.163,0.006,0.297,0.008,-0.043,-0.019
