country,democ,autoc,polity,polity2
Afghanistan,1,2,-1,-1
Albania,9,0,9,9
Algeria,3,1,2,2
Angola,2,4,-2,-2
Argentina,9,0,9,9
Armenia,7,0,7,7
Australia,10,0,10,10
Austria,10,0,10,10
Azerbaijan,0,7,-7,-7
Bahrain,0,10,-10,-10
Belgium,8,0,8,8
Benin,7,0,7,7
Burkina Faso,7,1,6,6
Bhutan,7,0,7,7
Belarus,0,7,-7,-7
Bangladesh,0,6,-6,-6
Bolivia,7,0,7,7
Bosnia,-66,-66,-66,
Botswana,8,0,8,8
Brazil,8,0,8,8
Burundi,2,3,-1,-1
Bulgaria,9,0,9,9
Cambodia,0,4,-4,-4
Canada,10,0,10,10
Cameroon,1,5,-4,-4
Cape Verde,10,0,10,10
Central African Republic,7,1,6,6
Chad,1,3,-2,-2
Chile,10,0,10,10
China,0,7,-7,-7
Colombia,7,0,7,7
Comoros,0,3,-3,-3
Congo Brazzaville,0,4,-4,-4
Costa Rica,10,0,10,10
Croatia,9,0,9,9
Cuba,1,6,-5,-5
Cyprus,10,0,10,10
Czech Republic,9,0,9,9
Denmark,10,0,10,10
Djibouti,3,0,3,3
Dominican Republic,8,1,7,7
Ecuador,6,1,5,5
Egypt,0,4,-4,-4
Equatorial Guinea,0,6,-6,-6
Eritrea,0,7,-7,-7
Estonia,9,0,9,9
Ethiopia,3,2,1,1
Timor Leste,9,1,8,8
Finland,10,0,10,10
Fiji,4,0,4,2
France,10,0,10,10
Gabon,4,1,3,3
Gambia,4,0,4,4
Ghana,8,0,8,8
Germany,10,0,10,10
Guinea-Bissau,7,1,6,6
Greece,10,0,10,10
Georgia,8,1,7,7
Guatemala,9,1,8,8
Guinea,4,0,4,4
Guyana,8,1,7,7
Haiti,6,1,5,5
Honduras,7,0,7,7
Hungary,10,0,10,10
India,9,0,9,9
Indonesia,9,0,9,9
Ireland,10,0,10,10
Iran,0,7,-7,-7
Iraq,6,0,6,6
Israel,7,1,6,6
Italy,10,0,10,10
Cote D'Ivoire,5,1,4,4
Jamaica,9,0,9,9
Jordan,2,5,-3,-3
Japan,10,0,10,10
Kenya,9,0,9,9
Kosovo,8,0,8,8
Kuwait,0,7,-7,-7
Kyrgyzstan,8,0,8,8
Kazakhstan,0,6,-6,-6
Laos,0,7,-7,-7
Latvia,8,0,8,8
Liberia,8,1,7,7
Lebanon,6,0,6,6
Lesotho,9,1,8,8
Libya,-77,-77,-77,0
Lithuania,10,0,10,10
Luxembourg,10,0,10,10
Mauritania,0,2,-2,-2
Macedonia,9,0,9,9
Madagascar,6,0,6,6
Malaysia,7,0,7,7
Mauritius,10,0,10,10
Malawi,6,0,6,6
Mexico,8,0,8,8
Moldova,9,0,9,9
Mali,6,1,5,5
Montenegro,9,0,9,9
Mongolia,10,0,10,10
Morocco,1,5,-4,-4
Myanmar (Burma),8,0,8,8
Mozambique,6,1,5,5
Namibia,6,0,6,6
Nepal,8,1,7,7
New Zealand,10,0,10,10
Nicaragua,7,1,6,6
Nigeria,8,1,7,7
Niger,6,1,5,5
Norway,10,0,10,10
Netherlands,10,0,10,10
Oman,0,8,-8,-8
Pakistan,7,0,7,7
Panama,9,0,9,9
Paraguay,9,0,9,9
Peru,9,0,9,9
Philippines,8,0,8,8
Papua New Guinea,5,0,5,5
Poland,10,0,10,10
Portugal,10,0,10,10
Korea North,0,10,-10,-10
Qatar,0,10,-10,-10
Korea South,8,0,8,8
Romania,9,0,9,9
Russia,5,1,4,4
Rwanda,0,3,-3,-3
South Africa,9,0,9,9
El Salvador,8,0,8,8
Saudi Arabia,0,10,-10,-10
Sudan-North,0,4,-4,-4
Senegal,7,0,7,7
Serbia,9,1,8,8
Sierra Leone,8,1,7,7
Singapore,2,4,-2,-2
Slovak Republic,10,0,10,10
Slovenia,10,0,10,10
Solomon Islands,9,1,8,8
Somalia,5,0,5,5
Spain,10,0,10,10
Sri Lanka,7,1,6,6
South Sudan,-77,-77,-77,0
Suriname,6,1,5,5
Swaziland,0,9,-9,-9
Sweden,10,0,10,10
Switzerland,10,0,10,10
Syria,0,9,-9,-9
Tajikistan,1,4,-3,-3
Taiwan,10,0,10,10
Tanzania,4,1,3,3
Thailand,0,3,-3,-3
Turkmenistan,0,8,-8,-8
Togo,1,3,-2,-2
Trinidad and Tobago,10,0,10,10
Tunisia,7,0,7,7
Turkey,0,4,-4,-4
UAE,0,8,-8,-8
Uganda,1,2,-1,-1
United Kingdom,8,0,8,8
Ukraine,5,1,4,4
Uruguay,10,0,10,10
United States                   ,8,0,8,8
Uzbekistan,0,9,-9,-9
Venezuela,1,4,-3,-3
Vietnam,0,7,-7,-7
Yemen,-77,-77,-77,0
Congo Kinshasa,1,4,-3,-3
Zambia,6,0,6,6
Zimbabwe,5,1,4,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
